epoch,accuracy,loss,val_accuracy,val_loss
0,0.3825076222419739,1.3239970207214355,0.46685880422592163,1.2803508043289185
1,0.6526432037353516,0.9765009880065918,0.6426513195037842,0.9509546756744385
2,0.792969822883606,0.575377345085144,0.6945244669914246,0.8140143752098083
3,0.8494325876235962,0.4098360240459442,0.680115282535553,0.8077638149261475
4,0.8865209221839905,0.3203651010990143,0.6829971075057983,0.8307307958602905
5,0.9169664978981018,0.25682586431503296,0.6628242135047913,0.9008446335792542
6,0.9308054447174072,0.2118808478116989,0.6772334575653076,0.9527323246002197
7,0.9407694339752197,0.17858639359474182,0.6858789920806885,0.9977008700370789
8,0.9559922218322754,0.1498347818851471,0.6858789920806885,1.0809578895568848
9,0.9604207277297974,0.13149307668209076,0.6916426420211792,1.1108862161636353
10,0.9667866230010986,0.12211816757917404,0.680115282535553,1.1654629707336426
11,0.9687240719795227,0.10855639725923538,0.6541786789894104,1.3206093311309814
12,0.9709382653236389,0.09673099219799042,0.6743515729904175,1.2453970909118652
13,0.9709382653236389,0.09202942997217178,0.6685879230499268,1.298727035522461
14,0.9725989699363708,0.0841127261519432,0.6657060384750366,1.370153784751892
15,0.9706615209579468,0.08845405280590057,0.6772334575653076,1.3519501686096191
16,0.9753667116165161,0.08005912601947784,0.6570605039596558,1.3910200595855713
17,0.974259614944458,0.08147050440311432,0.6628242135047913,1.4100955724716187
18,0.9759202599525452,0.07073938101530075,0.6685879230499268,1.4400092363357544
19,0.9773041605949402,0.07085029780864716,0.6628242135047913,1.4660457372665405
20,0.977027416229248,0.06670910120010376,0.6426513195037842,1.5448849201202393
21,0.977027416229248,0.06585799157619476,0.6541786789894104,1.5673538446426392
22,0.9761970639228821,0.07125040888786316,0.6484149694442749,1.5075809955596924
23,0.9759202599525452,0.06211436912417412,0.6714697480201721,1.5428038835525513
24,0.9759202599525452,0.06316716969013214,0.6455331444740295,1.576094627380371
